"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"185",0,4,0,2,2,0,1,6,2,7
"186",0,2,0,0,1,0,0,1,0,3
"187",0,2,0,0,1,0,0,3,0,5
"188",0,3,0,0,2,0,1,4,0,9
"189",1,1,0,0,0,0,0,2,1,3
"190",0,2,0,0,1,0,0,5,0,5
"191",0,1,0,0,0,0,0,1,0,3
"192",0,1,0,0,1,0,1,3,0,5
"193",0,3,0,0,3,0,1,5,0,7
"194",0,0,0,0,0,0,0,7,0,6
"195",0,5,0,0,2,0,0,4,0,6
"196",0,2,0,1,1,0,0,5,0,6
"197",0,2,0,0,1,0,1,4,0,3
"198",0,2,0,0,2,0,2,5,0,5
"199",1,4,0,1,2,1,1,6,2,9
"200",1,4,0,1,2,1,1,6,2,9
"201",1,4,0,1,2,1,1,6,2,9
"202",0,3,0,2,1,1,1,5,1,4
"203",0,4,0,0,1,0,0,3,0,4
"204",0,5,0,0,0,0,1,2,1,3
"205",0,5,0,1,3,0,0,5,0,7
"206",0,1,0,0,1,0,0,5,0,5
"207",0,1,0,0,1,0,0,5,0,5
"208",0,1,0,0,0,0,0,4,0,6
"209",0,2,0,0,1,0,0,5,0,4
"210",0,3,0,2,1,1,1,1,2,2
"211",0,3,0,1,0,0,1,1,1,3
"212",0,4,0,0,2,0,2,3,0,7
"213",1,1,0,0,0,0,0,2,1,4
"214",0,3,0,0,1,0,0,3,0,5
"215",0,3,0,0,1,0,0,4,0,4
"216",0,3,1,0,2,1,2,4,0,7
"217",0,2,0,0,0,0,0,4,0,6
"218",0,3,0,0,2,0,0,5,0,8
"219",0,3,0,0,2,0,0,5,0,8
"220",0,1,0,0,0,0,0,3,0,4
"221",0,3,0,0,2,0,1,3,0,8
"222",0,3,0,0,1,0,1,5,1,10
"223",0,0,0,2,1,0,0,3,0,4
"224",0,0,0,1,1,0,0,2,0,2
"225",0,0,0,0,0,0,0,2,0,6
"226",0,1,0,0,0,0,0,3,0,6
"227",0,3,0,1,1,0,1,4,0,5
"228",0,2,0,0,1,0,1,3,0,7
"229",0,1,0,0,0,0,0,3,0,6
"230",0,0,0,0,0,0,0,0,0,2
"231",0,2,0,0,1,0,1,3,0,7
"232",0,1,0,0,1,0,0,3,0,7
"233",0,2,0,0,1,0,1,3,0,7
"234",0,2,0,1,1,0,1,5,1,6
"235",0,7,0,0,3,1,1,6,0,12
"236",0,1,0,2,0,1,1,4,2,5
"237",0,1,0,0,0,0,0,2,0,2
"238",0,2,0,0,3,0,1,7,0,5
"239",0,3,0,0,1,0,0,5,1,3
"240",0,0,0,1,0,0,1,1,1,4
"241",0,2,0,0,1,0,0,4,1,5
"242",0,1,0,0,0,0,0,2,0,3
"243",3,2,0,3,1,0,1,4,2,5
"244",0,2,0,0,0,0,0,1,0,6
"245",1,1,0,1,0,0,0,0,1,7
"246",0,2,0,0,1,0,1,3,0,6
"247",0,2,0,0,1,0,0,5,0,7
"248",0,1,0,0,0,0,0,5,0,7
"249",0,1,0,0,0,0,0,3,0,1
"250",0,2,0,0,0,0,0,4,0,6
"251",0,3,0,1,0,0,0,4,0,7
"252",1,3,0,1,1,0,1,4,0,7
"253",0,2,0,1,0,1,1,3,1,7
"254",0,1,0,0,0,0,0,1,1,4
"255",0,2,0,0,2,0,1,4,1,8
"256",1,2,0,1,0,0,0,2,1,7
"257",0,1,0,1,1,0,0,3,1,4
"258",0,1,0,0,0,0,0,2,0,3
"259",1,1,0,1,0,0,0,3,1,2
"260",0,1,0,0,1,0,0,3,0,4
"261",0,3,0,0,1,0,0,3,0,5
"262",0,3,0,0,1,0,0,3,0,5
"263",0,3,0,0,0,0,0,6,1,7
"264",1,2,1,2,2,1,1,4,2,9
"265",0,3,0,0,3,0,1,2,1,7
"266",0,4,0,0,3,0,1,4,0,8
"267",0,0,0,0,0,0,0,3,1,3
"268",0,0,0,0,0,0,0,3,1,3
"269",0,0,0,0,0,0,0,7,0,6
"270",0,0,0,0,0,0,0,7,0,6
"271",0,2,0,1,0,0,0,4,1,3
"272",2,3,1,2,0,2,0,1,2,2
"273",0,2,0,1,1,0,0,5,2,6
"274",1,5,1,0,4,1,3,6,2,10
"275",0,1,0,0,0,0,0,5,0,8
"276",0,4,1,0,3,1,2,5,0,5
"277",0,4,1,0,3,1,2,5,0,5
"278",0,3,0,1,3,0,1,5,0,7
"279",0,1,0,1,2,0,0,3,0,5
"280",0,5,0,0,1,0,1,4,0,7
"281",0,3,0,0,2,0,0,3,0,8
"282",0,3,1,0,2,1,2,4,0,3
"283",0,1,0,0,0,0,0,2,0,3
"284",0,1,0,0,0,0,0,3,0,4
"285",0,0,0,0,0,0,0,2,0,1
"286",0,1,0,0,0,0,0,4,1,4
"287",0,3,0,0,2,0,1,5,0,10
"288",0,2,0,1,0,0,0,3,0,3
"289",0,2,0,0,1,0,0,2,0,3
"290",0,2,0,0,1,0,1,2,0,2
"291",0,4,0,0,2,0,2,3,0,8
"292",0,1,0,0,0,0,0,4,0,7
"293",0,2,0,0,1,1,1,2,1,5
"294",0,2,0,0,0,0,0,5,0,7
"295",0,2,1,0,1,1,1,2,0,4
"296",0,3,0,0,0,0,0,2,0,6
"297",1,1,0,1,0,0,1,3,0,5
"298",0,2,0,0,0,0,0,5,0,7
"299",0,1,0,1,2,0,0,8,0,6
"300",0,4,0,0,2,0,2,5,0,7
"301",0,5,0,0,1,0,1,4,0,8
"302",0,5,0,0,3,0,1,4,0,8
"303",0,3,0,0,1,0,0,4,0,7
"304",0,1,0,0,0,0,0,3,0,2
"305",0,0,0,0,0,0,0,1,0,3
"306",0,2,0,0,0,0,0,5,0,7
"307",0,4,0,0,3,0,1,3,0,9
"308",0,2,0,0,0,0,0,2,0,4
"309",0,3,0,0,2,1,1,4,1,7
"310",0,2,0,0,0,1,0,1,1,1
"311",0,3,0,0,2,0,0,8,0,8
"312",0,3,0,0,2,0,0,5,0,8
"313",0,3,0,0,2,0,0,5,0,8
"314",0,3,0,0,2,0,0,5,0,8
"315",0,2,0,0,0,0,0,2,0,4
"316",0,0,0,0,0,0,0,1,0,3
"317",0,2,0,1,2,0,1,5,0,8
"318",0,3,0,0,0,0,0,2,0,7
"319",0,2,0,0,1,0,0,4,0,5
"320",0,2,1,0,1,0,0,3,0,6
"321",0,2,0,1,0,0,0,3,0,2
"322",0,4,0,0,2,0,1,6,0,10
"323",0,1,0,0,1,0,0,3,0,4
"324",0,1,1,1,1,1,0,7,2,8
"325",0,3,0,0,0,0,0,5,0,4
"326",0,1,0,0,1,0,0,4,0,3
"327",1,1,1,0,0,0,0,2,1,1
"328",1,3,0,1,1,0,0,3,2,4
"329",0,3,0,0,1,0,0,2,0,2
"330",0,2,0,0,0,0,0,3,0,4
"331",0,5,0,0,1,0,0,2,0,6
"332",0,2,0,0,1,0,0,3,0,4
"333",0,3,0,0,1,0,0,4,0,8
"334",0,1,0,0,0,0,0,4,0,3
"335",0,2,0,0,1,0,0,3,0,7
"336",0,2,0,0,1,0,0,3,0,4
"337",0,2,0,0,1,0,0,4,1,5
"338",0,2,0,1,1,0,0,4,0,2
"339",0,3,0,0,0,0,0,4,0,9
"340",0,1,1,1,1,0,0,4,0,6
"341",0,6,0,0,2,0,2,5,0,8
"342",0,4,0,1,2,0,1,3,0,4
"343",0,2,0,0,0,0,0,3,1,4
"344",0,1,0,0,0,0,0,1,0,3
"345",0,3,0,0,0,0,0,3,0,3
"346",0,2,0,0,0,0,0,3,0,5
"347",0,4,0,0,2,0,2,4,0,6
"348",0,1,0,0,0,0,0,5,0,6
"349",0,1,0,2,0,1,1,4,2,5
"350",0,4,0,0,2,0,1,6,0,9
"351",0,2,0,0,0,0,0,4,0,5
"352",1,3,0,1,1,0,0,3,1,5
"353",0,1,0,0,0,0,0,4,1,8
"354",0,3,0,0,2,0,1,6,0,7
"355",0,4,0,0,1,0,0,4,0,5
"356",0,3,0,0,1,0,0,4,0,4
"357",0,2,0,0,1,0,0,6,0,5
"358",0,2,0,1,1,1,1,8,1,7
"359",0,3,0,0,1,0,0,3,0,3
"360",0,2,0,1,0,0,0,4,1,3
"361",0,3,0,0,1,0,0,3,1,4
"362",0,1,0,0,0,0,1,2,0,2
"363",0,7,1,0,5,2,2,8,0,8
"364",0,1,0,0,1,0,0,2,0,4
"365",0,1,0,0,0,0,0,3,0,5
"366",1,1,1,1,1,1,1,4,1,8
"367",0,2,0,2,0,0,0,1,2,3
"368",1,1,0,2,2,0,0,7,2,7
"369",0,4,0,0,1,0,0,5,0,7
"370",0,0,0,0,0,0,0,4,0,4
"371",0,0,0,0,0,0,0,1,0,3
"372",0,3,0,0,1,0,1,1,0,3
"373",0,2,0,0,1,0,0,6,0,6
"374",0,3,0,0,2,0,2,2,0,5
"375",0,2,0,0,1,0,1,3,0,4
"376",0,4,0,0,3,0,1,3,0,9
"377",0,3,0,1,1,0,1,4,0,8
