"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"360",2,11,2,3,8,2,1,20,5,33
"361",1,22,2,4,16,3,6,37,9,66
"362",5,9,2,4,9,4,3,25,9,38
"363",2,7,1,4,6,3,2,21,7,35
"364",3,11,2,4,8,3,3,24,6,41
"365",3,13,3,5,9,5,1,31,11,49
"366",3,12,1,4,9,2,2,27,5,37
"367",1,11,2,3,10,3,5,25,6,39
"368",3,13,3,5,9,5,1,31,11,49
"369",3,10,2,4,7,3,1,26,6,36
"370",1,12,1,3,6,4,3,20,7,33
"371",1,11,1,2,5,2,2,13,3,23
"372",2,12,0,3,11,3,4,27,6,45
"373",3,15,3,3,13,5,3,41,9,63
"374",3,9,1,3,8,2,5,19,3,32
"375",3,17,3,4,12,2,3,26,9,50
"376",2,17,3,4,11,3,5,29,8,46
"377",1,14,2,4,13,3,2,21,3,45
"378",0,1,0,2,3,1,2,9,3,17
"379",3,17,3,5,10,2,4,34,8,51
"380",2,8,2,3,7,2,2,24,11,35
"381",2,18,0,2,9,4,3,20,6,33
"382",2,15,0,4,10,2,3,22,6,34
"383",2,11,1,2,9,1,5,26,3,46
"384",8,14,6,8,8,8,4,29,16,50
"385",0,6,0,1,5,0,1,10,1,20
"386",3,18,2,4,11,4,2,22,6,36
"387",4,12,1,3,5,5,1,18,12,41
"388",7,14,4,6,10,5,3,33,12,45
"389",0,15,0,2,8,2,4,22,5,33
"390",2,16,2,4,10,2,2,27,6,44
"391",2,9,1,2,7,2,3,26,5,45
"392",6,22,5,6,17,5,6,38,12,52
"393",2,10,2,3,8,2,1,21,5,33
"394",0,7,0,1,5,2,2,14,1,21
"395",2,12,1,3,5,3,3,15,4,33
"396",2,16,0,2,9,2,4,19,3,35
"397",2,10,2,3,8,2,1,20,5,33
"398",3,14,1,5,7,4,1,22,11,42
"399",1,10,2,1,4,2,3,21,5,42
"400",3,22,1,3,14,4,3,37,9,66
"401",3,16,2,4,9,5,4,29,11,43
"402",3,9,2,7,9,3,2,27,14,41
"403",6,18,2,5,10,4,3,31,11,49
"404",5,23,0,7,20,5,8,36,12,69
"405",3,22,3,8,11,3,2,30,8,51
"406",2,17,2,5,11,2,2,27,7,49
"407",2,16,0,2,9,2,4,19,3,35
"408",2,17,2,5,11,2,2,27,7,48
"409",1,12,0,2,6,3,4,20,7,32
"410",2,6,2,3,3,4,1,13,6,27
"411",2,12,1,4,8,3,1,23,8,32
"412",4,13,3,4,7,4,0,17,7,28
"413",4,11,2,7,9,2,5,17,6,30
"414",1,10,0,2,7,4,4,20,5,35
"415",0,8,0,1,2,1,0,9,3,18
"416",4,14,3,5,9,4,0,28,8,37
"417",2,6,1,1,5,1,1,17,4,21
"418",2,14,0,3,11,4,5,28,7,56
"419",4,15,4,5,11,6,2,29,18,42
"420",2,16,2,3,12,3,2,24,6,41
"421",1,12,0,2,7,2,6,21,6,45
"422",2,12,0,5,6,5,4,20,8,40
"423",3,15,0,4,14,4,5,31,10,50
"424",3,12,3,3,12,4,0,28,8,43
"425",1,12,0,2,7,2,6,21,6,45
"426",1,14,0,2,6,3,3,23,3,31
"427",1,12,0,2,7,2,6,21,6,45
"428",2,9,2,3,7,2,3,18,2,41
"429",2,17,0,6,15,4,6,32,10,50
"430",2,12,0,5,6,5,4,21,8,40
"431",2,17,2,5,11,2,2,27,7,49
"432",1,6,1,1,7,1,2,20,6,38
"433",6,15,2,7,7,5,2,33,13,50
